block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run1,001,27,ABB,rectangle,triangle,"rectangle,triangle,triangle",ABB,star,rectangle,"star,rectangle,rectangle",1,,1,1,0.5625127699995573,1.1278270112742879,0.9553437098762686,1.5,1.2587278550690437,0.7840740401313613,2.0,418.8934576003812,419.4025437999517,421.0523496000096,422.51821590028703,424.52471450017765,426.2935734000057,427.5873137000017,428.09224140038714
run1,001,28,ABB,triangle,star,"triangle,star,star",ABB,circle,triangle,"circle,triangle,triangle",1,,1,1,0.8662418149997393,0.8875995740037925,1.1203778135047275,1.5,1.0160537628701602,1.0917936204665044,2.0,433.6735964999534,434.1773333000019,435.5716101001017,437.200412100181,439.2082823002711,440.73530940013006,442.33545670006424,442.840746300295
run1,001,29,ABB,star,circle,"star,circle,circle",ABA,rectangle,circle,"rectangle,circle,rectangle",0,rule_order,2,1,0.19253140000000712,0.8748661531025373,0.9533395101318773,1.5,1.0419855190266794,0.92367791736124,2.0,448.7242014002986,449.2281757001765,450.61389950010926,452.0768268001266,454.0912824999541,455.6429139999673,457.0744459000416,457.57884060032666
run2,001,30,ABA,star,rectangle,"star,rectangle,star",other,triangle,rectangle,"triangle,rectangle,circle",0,random,2,1,0.3174916250000024,1.312841832588481,1.1014935011325082,1.5,1.1924966794909615,0.9954794407611258,2.0,498.34901600005105,498.85309520037845,500.6761277001351,502.2865844001062,504.29930340033025,505.9984438000247,507.5056858002208,508.0145355002023
run2,001,31,ABA,circle,rectangle,"circle,rectangle,circle",ABA,triangle,rectangle,"triangle,rectangle,triangle",1,,1,1,0.2834624149991214,0.8355816178539465,0.7889127390530948,1.5,1.333435124075568,1.1456645852517011,2.0,513.3472815002315,513.8509112000465,515.198124000337,516.4980436000042,518.5061419000849,520.3490546001121,522.0018965001218,522.5060791000724
run2,001,32,ABB,rectangle,triangle,"rectangle,triangle,triangle",other,rectangle,star,"rectangle,star,triangle",0,random,2,1,0.31792652499916585,1.1430034554939459,0.7128082234451991,1.5,0.8038607181045513,1.2055164587101697,2.0,527.8107621003874,528.318245800212,529.9715885999613,531.192445800174,533.2028203001246,534.5154345002957,536.2323910002597,536.7414768999442
run2,001,33,ABB,circle,star,"circle,star,star",ABB,rectangle,star,"rectangle,star,star",1,,1,1,0.1922969799989005,0.7397610652905946,1.018803175941387,1.5,0.8298838384236903,1.055689938215367,2.0,542.0766973001882,542.5811199001037,543.8369575999677,545.3637409000657,547.3747254000045,548.7174324002117,550.2806216999888,550.7850785003975
run2,001,34,ABA,circle,rectangle,"circle,rectangle,circle",other,circle,triangle,"circle,triangle,rectangle",0,random,2,1,0.3095339100000274,1.2910284053827967,0.9589870188592406,1.5,0.8486870071420506,1.1573125361249064,2.0,555.9991927002557,556.5035920003429,558.3031855002046,559.7741804001853,561.7831628001295,563.1438958002254,564.813856900204,565.3175981999375
run2,001,35,ABA,triangle,rectangle,"triangle,rectangle,triangle",ABA,rectangle,triangle,"rectangle,triangle,rectangle",1,,1,1,0.3898130099996706,0.7899556164934124,0.695644180888025,1.5,1.0553761424091843,1.167023616233232,2.0,570.6528178001754,571.1558790002018,572.455223900266,573.6596274999902,575.671640700195,577.2431379002519,578.9192443001084,579.4235495999455
run2,001,36,ABA,rectangle,star,"rectangle,star,rectangle",ABB,rectangle,star,"rectangle,star,star",0,rule_order,2,1,0.2652146399996127,0.7642649506658707,0.9004048136700591,1.5,0.8755905001518319,1.396777832306698,2.0,584.8376820003614,585.3409760999493,586.6134802000597,588.019888299983,590.0310979001224,591.4197778999805,593.3237589001656,593.8277954002842
