sid,main_trial_idx,rule_type,acc_roll,rt_roll
cc2bdacf-6fe4-4e56-9630-a6ab21438244,31,ABA,1.0,0.6284108499999093
cc2bdacf-6fe4-4e56-9630-a6ab21438244,32,ABB,1.0,0.6239901999999802
cc2bdacf-6fe4-4e56-9630-a6ab21438244,33,ABB,1.0,0.6107150000002548
cc2bdacf-6fe4-4e56-9630-a6ab21438244,34,ABB,1.0,0.6107150000002548
cc2bdacf-6fe4-4e56-9630-a6ab21438244,35,ABA,1.0,0.590924650000261
cc2bdacf-6fe4-4e56-9630-a6ab21438244,36,ABB,1.0,0.590924650000261
cc2bdacf-6fe4-4e56-9630-a6ab21438244,37,ABB,1.0,0.6107150000002548
cc2bdacf-6fe4-4e56-9630-a6ab21438244,38,ABB,1.0,0.6157403000001977
cc2bdacf-6fe4-4e56-9630-a6ab21438244,39,ABA,1.0,0.6280526000000464
cc2bdacf-6fe4-4e56-9630-a6ab21438244,40,ABB,1.0,0.6126759000003403
cc2bdacf-6fe4-4e56-9630-a6ab21438244,41,ABB,1.0,0.6280526000000464
cc2bdacf-6fe4-4e56-9630-a6ab21438244,42,ABA,1.0,0.6467927999999574
cc2bdacf-6fe4-4e56-9630-a6ab21438244,43,ABB,1.0,0.6722897499998908
cc2bdacf-6fe4-4e56-9630-a6ab21438244,44,ABB,1.0,0.6722897499998908
cc2bdacf-6fe4-4e56-9630-a6ab21438244,45,ABA,1.0,0.6722897499998908
cc2bdacf-6fe4-4e56-9630-a6ab21438244,46,ABB,1.0,0.6943234999998822
cc2bdacf-6fe4-4e56-9630-a6ab21438244,47,ABB,1.0,0.6943234999998822
cc2bdacf-6fe4-4e56-9630-a6ab21438244,48,ABB,1.0,0.7099167000001216
cc2bdacf-6fe4-4e56-9630-a6ab21438244,49,ABA,1.0,0.7049910999999156
cc2bdacf-6fe4-4e56-9630-a6ab21438244,50,ABB,1.0,0.7049910999999156
cc2bdacf-6fe4-4e56-9630-a6ab21438244,51,ABA,1.0,0.6653381499995703
cc2bdacf-6fe4-4e56-9630-a6ab21438244,52,ABA,1.0,0.626224999999522
cc2bdacf-6fe4-4e56-9630-a6ab21438244,53,ABB,1.0,0.626224999999522
cc2bdacf-6fe4-4e56-9630-a6ab21438244,54,ABA,0.9,0.6052561499996045
cc2bdacf-6fe4-4e56-9630-a6ab21438244,55,ABB,0.9,0.6052561499996045
cc2bdacf-6fe4-4e56-9630-a6ab21438244,56,ABB,0.9,0.6052561499996045
cc2bdacf-6fe4-4e56-9630-a6ab21438244,57,ABB,0.9,0.5766407499995694
cc2bdacf-6fe4-4e56-9630-a6ab21438244,58,ABA,0.9,0.5766407499995694
cc2bdacf-6fe4-4e56-9630-a6ab21438244,59,ABA,0.9,0.6052561499996045
cc2bdacf-6fe4-4e56-9630-a6ab21438244,60,ABB,0.8,0.6112690999998449
cc2bdacf-6fe4-4e56-9630-a6ab21438244,61,ABB,0.8,0.6112690999998449
cc2bdacf-6fe4-4e56-9630-a6ab21438244,62,ABB,0.8,0.5656607999999324
cc2bdacf-6fe4-4e56-9630-a6ab21438244,63,ABA,0.8,0.5572450499998922
cc2bdacf-6fe4-4e56-9630-a6ab21438244,64,ABB,0.9,0.5572450499998922
cc2bdacf-6fe4-4e56-9630-a6ab21438244,65,ABB,0.9,0.6029508500000702
cc2bdacf-6fe4-4e56-9630-a6ab21438244,66,ABA,0.9,0.5887716500001261
cc2bdacf-6fe4-4e56-9630-a6ab21438244,67,ABB,0.9,0.6027910499997233
cc2bdacf-6fe4-4e56-9630-a6ab21438244,68,ABA,0.9,0.6027910499997233
